time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1733079600,97211.28,97190.48,97191.06,7.786,756772.53,97193.97,direct,
1733079660,97195.97,97192.91,97193.97,3.567,346758.28,97194.94,direct,
1733079720,97195.27,97156.83,97194.94,8.852,860247.1,97166.6,direct,
1733079780,97215.14,97165.55,97166.6,12.01,1166760.1,97214.99,direct,
1733079840,97235.02,97214.99,97214.99,6.493,631312.45,97232.28,direct,
1733079900,97259.05,97214.53,97232.28,8.299,806947.84,97257.46,direct,
1733079960,97275.06,97257.46,97257.46,4.41,429013.74,97270.84,direct,
1733080020,97370.31,97268.1,97270.84,20.45,1990352.99,97342.31,direct,
1733080080,97342.33,97319.3,97342.31,7.51,730886.71,97320.91,direct,
1733080140,97320.91,97287.38,97320.91,10.69,1040662.92,97293.59,direct,
1733080200,97295.34,97272.99,97293.59,9.034,878895.43,97293.6,direct,
1733080260,97312.42,97272.93,97293.6,9.455,919920.98,97274.3,direct,
1733080320,97292.38,97268.11,97274.3,5.092,495249.61,97290.34,direct,
1733080380,97307.91,97264.75,97290.34,8.701,846410.83,97267.34,direct,
1733080440,97270.29,97251.21,97267.34,13.15,1278778.61,97251.21,direct,
1733080500,97262.78,97247.6,97251.21,8.349,811929.05,97261.36,direct,
1733080560,97297.28,97260.47,97261.36,5.458,530933.52,97293.6,direct,
1733080620,97293.61,97264.84,97293.6,8.711,847353.23,97291.54,direct,
1733080680,97325.56,97275.14,97291.54,27.4,2666022.83,97318.0,direct,
1733080740,97322.59,97256.47,97318.0,11.87,1155228.15,97258.37,direct,
1733080800,97258.37,97214.48,97258.37,9.836,956436.52,97216.29,direct,
1733080860,97216.32,97161.42,97216.29,11.36,1104402.44,97163.27,direct,
1733080920,97169.73,97152.69,97163.27,14.95,1452062.49,97154.07,direct,
1733080980,97156.04,97119.46,97154.07,27.54,2675581.01,97119.46,direct,
1733081040,97131.85,97108.95,97119.46,14.57,1414736.57,97129.46,direct,
1733081100,97130.46,97098.16,97129.46,18.19,1766087.62,97110.59,direct,
1733081160,97139.67,97110.15,97110.59,10.78,1046762.72,97138.06,direct,
1733081220,97141.49,97125.45,97138.06,10.18,988891.6,97133.63,direct,
1733081280,97174.38,97132.53,97133.63,3.564,346302.3,97171.9,direct,
1733081340,97177.92,97144.91,97171.9,7.547,733367.65,97144.91,direct,
1733081400,97148.13,97107.33,97144.91,7.595,737617.48,97107.33,direct,
1733081460,97135.95,97107.33,97107.33,9.263,899644.37,97122.59,direct,
1733081520,97147.16,97122.13,97122.59,5.329,517623.07,97143.16,direct,
1733081580,97194.69,97143.08,97143.16,13.67,1328770.25,97188.07,direct,
1733081640,97199.74,97184.88,97188.07,10.29,1000198.41,97186.54,direct,
1733081700,97192.73,97167.94,97186.54,11.85,1151048.14,97167.94,direct,
1733081760,97179.91,97154.63,97167.94,9.461,919213.18,97164.03,direct,
1733081820,97184.25,97163.73,97164.03,10.05,976078.09,97167.76,direct,
1733081880,97168.37,97122.45,97167.76,8.364,812284.68,97122.64,direct,
1733081940,97123.42,97098.12,97122.64,7.207,699781.68,97099.44,direct,
1733082000,97140.96,97099.44,97099.44,9.388,911751.45,97137.37,direct,
1733082060,97139.71,97127.57,97137.37,6.819,662332.83,97127.59,direct,
1733082120,97137.5,97122.26,97127.59,4.739,460284.81,97127.31,direct,
1733082180,97130.37,97095.23,97127.31,5.727,556157.53,97097.07,direct,
1733082240,97097.07,97082.29,97097.07,8.962,870139.34,97084.36,direct,
1733082300,97106.53,97081.57,97084.36,10.04,975145.88,97103.78,direct,
1733082360,97113.87,97086.09,97103.78,11.06,1073611.17,97111.95,direct,
1733082420,97114.13,97102.17,97111.95,6.556,636606.08,97110.47,direct,
1733082480,97115.83,97081.6,97110.47,8.924,866496.93,97082.04,direct,
1733082540,97082.04,97038.15,97082.04,18.3,1776156.91,97045.24,direct,
1733082600,97067.56,97026.17,97045.24,14.98,1453259.68,97067.56,direct,
1733082660,97095.14,97067.07,97067.56,9.857,956910.22,97090.56,direct,
1733082720,97103.77,97086.01,97090.56,7.842,761344.56,97088.2,direct,
1733082780,97107.39,97087.39,97088.2,6.115,593666.45,97107.39,direct,
1733082840,97170.17,97107.39,97107.39,14.8,1437522.38,97159.93,direct,
1733082900,97160.22,97135.29,97159.93,7.644,742563.72,97159.14,direct,
1733082960,97180.62,97156.77,97159.14,5.738,557519.66,97177.32,direct,
1733083020,97227.21,97177.32,97177.32,6.492,631014.88,97227.21,direct,
1733083080,97249.71,97227.2,97227.21,19.96,1940296.02,97249.71,direct,
1733083140,97250.07,97236.22,97249.71,7.242,704292.66,97238.26,direct,
1733083200,97269.93,97229.51,97238.26,9.967,969260.93,97267.98,direct,
1733083260,97267.98,97232.49,97267.98,6.347,617271.96,97232.53,direct,
1733083320,97234.14,97187.53,97232.53,4.953,481449.39,97187.85,direct,
1733083380,97191.55,97116.34,97187.85,11.67,1133479.45,97116.64,direct,
1733083440,97121.05,97078.02,97116.64,18.38,1784343.15,97106.85,direct,
1733083500,97107.3,97063.16,97106.85,12.84,1246888.54,97069.67,direct,
1733083560,97133.26,97069.67,97069.67,5.949,577656.89,97133.2,direct,
1733083620,97138.9,97105.41,97133.2,9.942,965603.08,97105.45,direct,
1733083680,97128.99,97010.78,97105.45,24.51,2379738.14,97010.82,direct,
1733083740,97030.66,97008.49,97010.82,21.67,2102638.75,97028.1,direct,
1733083800,97039.7,97006.2,97028.1,12.53,1215693.41,97008.38,direct,
1733083860,97008.38,96941.88,97008.38,28.35,2749298.37,96978.0,direct,
1733083920,97019.75,96978.0,96978.0,10.72,1040010.13,97019.75,direct,
1733083980,97051.5,97016.37,97019.75,8.032,779376.63,97051.5,direct,
1733084040,97079.5,97047.41,97051.5,9.096,882970.07,97076.8,direct,
1733084100,97077.55,97020.62,97076.8,14.81,1436956.6,97046.59,direct,
1733084160,97047.01,97007.8,97046.59,19.98,1938636.12,97015.57,direct,
1733084220,97077.25,97013.36,97015.57,8.127,788686.22,97067.11,direct,
1733084280,97071.83,97053.03,97067.11,13.55,1314877.72,97060.11,direct,
1733084340,97110.29,97058.6,97060.11,9.729,944572.54,97109.8,direct,
1733084400,97129.44,97087.87,97109.8,12.47,1210492.71,97121.56,direct,
1733084460,97144.47,97069.72,97121.56,24.74,2401770.25,97069.73,direct,
1733084520,97092.3,97053.03,97069.73,8.765,850779.64,97054.77,direct,
1733084580,97060.86,97042.58,97054.77,9.702,941555.37,97048.07,direct,
1733084640,97048.07,96969.81,97048.07,11.59,1123667.03,96994.2,direct,
1733084700,97023.91,96983.46,96994.2,11.74,1138853.25,96990.81,direct,
1733084760,97014.25,96976.49,96990.81,9.462,917694.29,96976.49,direct,
1733084820,96976.49,96921.39,96976.49,13.1,1270161.16,96923.04,direct,
1733084880,96951.0,96917.25,96923.04,15.83,1534482.59,96917.83,direct,
1733084940,96945.28,96886.82,96917.83,17.41,1687061.96,96923.43,direct,
1733085000,96924.78,96880.94,96923.43,13.77,1333999.04,96881.36,direct,
1733085060,96915.27,96881.32,96881.36,18.0,1743676.31,96901.9,direct,
1733085120,96924.4,96865.17,96901.9,14.29,1384195.55,96922.58,direct,
1733085180,96965.46,96918.13,96922.58,11.35,1100588.22,96958.49,direct,
1733085240,96988.0,96931.42,96958.49,18.46,1789545.22,96975.12,direct,
1733085300,96994.59,96956.41,96975.12,13.26,1285670.29,96974.56,direct,
1733085360,97007.97,96974.56,96974.56,11.17,1083819.75,97007.97,direct,
1733085420,97061.77,97000.42,97007.97,10.39,1007653.53,97050.55,direct,
1733085480,97056.85,97034.95,97050.55,25.35,2461322.44,97036.16,direct,
1733085540,97037.87,97005.21,97036.16,6.806,660311.45,97008.86,direct,
1733085600,97008.86,96988.74,97008.86,0.0,0.0,96988.74,direct,
